"","type","date","country","total_cases"
"1","confirmed",2020-01-22,"Australia",0
"2","confirmed",2020-01-22,"Belgium",0
"3","confirmed",2020-01-22,"China",548
"4","confirmed",2020-01-22,"Italy",0
"5","confirmed",2020-01-22,"Japan",2
"6","confirmed",2020-01-22,"Spain",0
"7","confirmed",2020-01-22,"US",1
"8","death",2020-01-22,"Australia",0
"9","death",2020-01-22,"Belgium",0
"10","death",2020-01-22,"China",17
"11","death",2020-01-22,"Italy",0
"12","death",2020-01-22,"Japan",0
"13","death",2020-01-22,"Spain",0
"14","death",2020-01-22,"US",0
"15","recovered",2020-01-22,"Australia",0
"16","recovered",2020-01-22,"Belgium",0
"17","recovered",2020-01-22,"China",28
"18","recovered",2020-01-22,"Italy",0
"19","recovered",2020-01-22,"Japan",0
"20","recovered",2020-01-22,"Spain",0
"21","recovered",2020-01-22,"US",0
"22","confirmed",2020-01-23,"Australia",0
"23","confirmed",2020-01-23,"Belgium",0
"24","confirmed",2020-01-23,"China",95
"25","confirmed",2020-01-23,"Italy",0
"26","confirmed",2020-01-23,"Japan",0
"27","confirmed",2020-01-23,"Spain",0
"28","confirmed",2020-01-23,"US",0
"29","death",2020-01-23,"Australia",0
"30","death",2020-01-23,"Belgium",0
"31","death",2020-01-23,"China",1
"32","death",2020-01-23,"Italy",0
"33","death",2020-01-23,"Japan",0
"34","death",2020-01-23,"Spain",0
"35","death",2020-01-23,"US",0
"36","recovered",2020-01-23,"Australia",0
"37","recovered",2020-01-23,"Belgium",0
"38","recovered",2020-01-23,"China",2
"39","recovered",2020-01-23,"Italy",0
"40","recovered",2020-01-23,"Japan",0
"41","recovered",2020-01-23,"Spain",0
"42","recovered",2020-01-23,"US",0
"43","confirmed",2020-01-24,"Australia",0
"44","confirmed",2020-01-24,"Belgium",0
"45","confirmed",2020-01-24,"China",277
"46","confirmed",2020-01-24,"Italy",0
"47","confirmed",2020-01-24,"Japan",0
"48","confirmed",2020-01-24,"Spain",0
"49","confirmed",2020-01-24,"US",1
"50","death",2020-01-24,"Australia",0
"51","death",2020-01-24,"Belgium",0
"52","death",2020-01-24,"China",8
"53","death",2020-01-24,"Italy",0
"54","death",2020-01-24,"Japan",0
"55","death",2020-01-24,"Spain",0
"56","death",2020-01-24,"US",0
"57","recovered",2020-01-24,"Australia",0
"58","recovered",2020-01-24,"Belgium",0
"59","recovered",2020-01-24,"China",6
"60","recovered",2020-01-24,"Italy",0
"61","recovered",2020-01-24,"Japan",0
"62","recovered",2020-01-24,"Spain",0
"63","recovered",2020-01-24,"US",0
"64","confirmed",2020-01-25,"Australia",0
"65","confirmed",2020-01-25,"Belgium",0
"66","confirmed",2020-01-25,"China",486
"67","confirmed",2020-01-25,"Italy",0
"68","confirmed",2020-01-25,"Japan",0
"69","confirmed",2020-01-25,"Spain",0
"70","confirmed",2020-01-25,"US",0
"71","death",2020-01-25,"Australia",0
"72","death",2020-01-25,"Belgium",0
"73","death",2020-01-25,"China",16
"74","death",2020-01-25,"Italy",0
"75","death",2020-01-25,"Japan",0
"76","death",2020-01-25,"Spain",0
"77","death",2020-01-25,"US",0
"78","recovered",2020-01-25,"Australia",0
"79","recovered",2020-01-25,"Belgium",0
"80","recovered",2020-01-25,"China",3
"81","recovered",2020-01-25,"Italy",0
"82","recovered",2020-01-25,"Japan",0
"83","recovered",2020-01-25,"Spain",0
"84","recovered",2020-01-25,"US",0
"85","confirmed",2020-01-26,"Australia",4
"86","confirmed",2020-01-26,"Belgium",0
"87","confirmed",2020-01-26,"China",669
"88","confirmed",2020-01-26,"Italy",0
"89","confirmed",2020-01-26,"Japan",2
"90","confirmed",2020-01-26,"Spain",0
"91","confirmed",2020-01-26,"US",3
"92","death",2020-01-26,"Australia",0
"93","death",2020-01-26,"Belgium",0
"94","death",2020-01-26,"China",14
"95","death",2020-01-26,"Italy",0
"96","death",2020-01-26,"Japan",0
"97","death",2020-01-26,"Spain",0
"98","death",2020-01-26,"US",0
"99","recovered",2020-01-26,"Australia",0
"100","recovered",2020-01-26,"Belgium",0
"101","recovered",2020-01-26,"China",10
"102","recovered",2020-01-26,"Italy",0
