"","date","country","confirmed","death","recovered"
"1",2020-01-22,"Australia",0,0,0
"2",2020-01-22,"Belgium",0,0,0
"3",2020-01-22,"China",548,17,28
"4",2020-01-22,"Italy",0,0,0
"5",2020-01-22,"Japan",2,0,0
"6",2020-01-22,"Spain",0,0,0
"7",2020-01-22,"US",1,0,0
"8",2020-01-23,"Australia",0,0,0
"9",2020-01-23,"Belgium",0,0,0
"10",2020-01-23,"China",95,1,2
"11",2020-01-23,"Italy",0,0,0
"12",2020-01-23,"Japan",0,0,0
"13",2020-01-23,"Spain",0,0,0
"14",2020-01-23,"US",0,0,0
"15",2020-01-24,"Australia",0,0,0
"16",2020-01-24,"Belgium",0,0,0
"17",2020-01-24,"China",277,8,6
"18",2020-01-24,"Italy",0,0,0
"19",2020-01-24,"Japan",0,0,0
"20",2020-01-24,"Spain",0,0,0
"21",2020-01-24,"US",1,0,0
"22",2020-01-25,"Australia",0,0,0
"23",2020-01-25,"Belgium",0,0,0
"24",2020-01-25,"China",486,16,3
"25",2020-01-25,"Italy",0,0,0
"26",2020-01-25,"Japan",0,0,0
"27",2020-01-25,"Spain",0,0,0
"28",2020-01-25,"US",0,0,0
"29",2020-01-26,"Australia",4,0,0
"30",2020-01-26,"Belgium",0,0,0
"31",2020-01-26,"China",669,14,10
"32",2020-01-26,"Italy",0,0,0
"33",2020-01-26,"Japan",2,0,1
"34",2020-01-26,"Spain",0,0,0
"35",2020-01-26,"US",3,0,0
"36",2020-01-27,"Australia",1,0,0
"37",2020-01-27,"Belgium",0,0,0
"38",2020-01-27,"China",802,26,9
"39",2020-01-27,"Italy",0,0,0
"40",2020-01-27,"Japan",0,0,0
"41",2020-01-27,"Spain",0,0,0
"42",2020-01-27,"US",0,0,0
"43",2020-01-28,"Australia",0,0,0
"44",2020-01-28,"Belgium",0,0,0
"45",2020-01-28,"China",2632,49,43
"46",2020-01-28,"Italy",0,0,0
"47",2020-01-28,"Japan",3,0,0
"48",2020-01-28,"Spain",0,0,0
"49",2020-01-28,"US",0,0,0
"50",2020-01-29,"Australia",1,0,0
"51",2020-01-29,"Belgium",0,0,0
"52",2020-01-29,"China",578,2,19
"53",2020-01-29,"Italy",0,0,0
"54",2020-01-29,"Japan",0,0,0
"55",2020-01-29,"Spain",0,0,0
"56",2020-01-29,"US",0,0,0
"57",2020-01-30,"Australia",3,0,2
"58",2020-01-30,"Belgium",0,0,0
"59",2020-01-30,"China",2054,38,15
"60",2020-01-30,"Italy",0,0,0
"61",2020-01-30,"Japan",4,0,0
"62",2020-01-30,"Spain",0,0,0
"63",2020-01-30,"US",0,0,0
"64",2020-01-31,"Australia",0,0,0
"65",2020-01-31,"Belgium",0,0,0
"66",2020-01-31,"China",1661,42,79
"67",2020-01-31,"Italy",2,0,0
"68",2020-01-31,"Japan",4,0,0
"69",2020-01-31,"Spain",0,0,0
"70",2020-01-31,"US",2,0,0
"71",2020-02-01,"Australia",3,0,0
"72",2020-02-01,"Belgium",0,0,0
"73",2020-02-01,"China",2089,46,61
"74",2020-02-01,"Italy",0,0,0
"75",2020-02-01,"Japan",5,0,0
"76",2020-02-01,"Spain",1,0,0
"77",2020-02-01,"US",1,0,0
"78",2020-02-02,"Australia",0,0,0
"79",2020-02-02,"Belgium",0,0,0
"80",2020-02-02,"China",4739,102,188
"81",2020-02-02,"Italy",0,0,0
"82",2020-02-02,"Japan",0,0,0
"83",2020-02-02,"Spain",0,0,0
"84",2020-02-02,"US",0,0,0
"85",2020-02-03,"Australia",0,0,0
"86",2020-02-03,"Belgium",0,0,0
"87",2020-02-03,"China",3086,64,151
"88",2020-02-03,"Italy",0,0,0
