"","type","date","country","cases","province","long","lat"
"1","confirmed",2020-01-22,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"2","confirmed",2020-01-22,"Australia",0,"New South Wales",151.2093,-33.8688
"3","confirmed",2020-01-22,"Australia",0,"Northern Territory",130.8456,-12.4634
"4","confirmed",2020-01-22,"Australia",0,"Queensland",153.0251,-27.4698
"5","confirmed",2020-01-22,"Australia",0,"South Australia",138.6007,-34.9285
"6","confirmed",2020-01-22,"Australia",0,"Tasmania",147.3272,-42.8821
"7","confirmed",2020-01-22,"Australia",0,"Victoria",144.9631,-37.8136
"8","confirmed",2020-01-22,"Australia",0,"Western Australia",115.8605,-31.9505
"9","confirmed",2020-01-22,"Belgium",0,"",4.469936,50.8333
"10","confirmed",2020-01-22,"China",0,"Gansu",104.2861,35.7518
"11","confirmed",2020-01-22,"China",0,"Heilongjiang",127.7615,47.862
"12","confirmed",2020-01-22,"China",0,"Hong Kong",114.2,22.3
"13","confirmed",2020-01-22,"China",0,"Inner Mongolia",113.9448,44.0935
"14","confirmed",2020-01-22,"China",0,"Jilin",126.1923,43.6661
"15","confirmed",2020-01-22,"China",0,"Qinghai",95.9956,35.7452
"16","confirmed",2020-01-22,"China",0,"Shaanxi",108.8701,35.1917
"17","confirmed",2020-01-22,"China",0,"Tibet",88.0924,31.6927
"18","confirmed",2020-01-22,"China",0,"Xinjiang",85.2401,41.1129
"19","confirmed",2020-01-22,"China",1,"Anhui",117.2264,31.8257
"20","confirmed",2020-01-22,"China",1,"Fujian",117.9874,26.0789
"21","confirmed",2020-01-22,"China",1,"Guizhou",106.8748,26.8154
"22","confirmed",2020-01-22,"China",1,"Hebei",116.1306,39.549
"23","confirmed",2020-01-22,"China",1,"Jiangsu",119.455,32.9711
"24","confirmed",2020-01-22,"China",1,"Macau",113.55,22.1667
"25","confirmed",2020-01-22,"China",1,"Ningxia",106.1655,37.2692
"26","confirmed",2020-01-22,"China",1,"Shanxi",112.2922,37.5777
"27","confirmed",2020-01-22,"China",1,"Yunnan",101.487,24.974
"28","confirmed",2020-01-22,"China",2,"Guangxi",108.7881,23.8298
"29","confirmed",2020-01-22,"China",2,"Jiangxi",115.7221,27.614
"30","confirmed",2020-01-22,"China",2,"Liaoning",122.6085,41.2956
"31","confirmed",2020-01-22,"China",2,"Shandong",118.1498,36.3427
"32","confirmed",2020-01-22,"China",4,"Hainan",109.7453,19.1959
"33","confirmed",2020-01-22,"China",4,"Hunan",111.7088,27.6104
"34","confirmed",2020-01-22,"China",4,"Tianjin",117.323,39.3054
"35","confirmed",2020-01-22,"China",5,"Henan",114.9042,37.8957
"36","confirmed",2020-01-22,"China",5,"Sichuan",102.7103,30.6171
"37","confirmed",2020-01-22,"China",6,"Chongqing",107.874,30.0572
"38","confirmed",2020-01-22,"China",9,"Shanghai",121.4491,31.202
"39","confirmed",2020-01-22,"China",10,"Zhejiang",120.0934,29.1832
"40","confirmed",2020-01-22,"China",14,"Beijing",116.4142,40.1824
"41","confirmed",2020-01-22,"China",26,"Guangdong",113.4244,23.3417
"42","confirmed",2020-01-22,"China",444,"Hubei",112.2707,30.9756
"43","confirmed",2020-01-22,"Germany",0,"",10.451526,51.165691
"44","confirmed",2020-01-22,"Italy",0,"",12.56738,41.87194
"45","confirmed",2020-01-22,"Japan",2,"",138.252924,36.204824
"46","confirmed",2020-01-22,"Spain",0,"",-3.74922,40.463667
"47","confirmed",2020-01-22,"US",1,"",-100,40
"48","confirmed",2020-01-23,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"49","confirmed",2020-01-23,"Australia",0,"New South Wales",151.2093,-33.8688
"50","confirmed",2020-01-23,"Australia",0,"Northern Territory",130.8456,-12.4634
"51","confirmed",2020-01-23,"Australia",0,"Queensland",153.0251,-27.4698
"52","confirmed",2020-01-23,"Australia",0,"South Australia",138.6007,-34.9285
"53","confirmed",2020-01-23,"Australia",0,"Tasmania",147.3272,-42.8821
"54","confirmed",2020-01-23,"Australia",0,"Victoria",144.9631,-37.8136
"55","confirmed",2020-01-23,"Australia",0,"Western Australia",115.8605,-31.9505
"56","confirmed",2020-01-23,"Belgium",0,"",4.469936,50.8333
"57","confirmed",2020-01-23,"China",0,"Hebei",116.1306,39.549
"58","confirmed",2020-01-23,"China",0,"Henan",114.9042,37.8957
"59","confirmed",2020-01-23,"China",0,"Hubei",112.2707,30.9756
"60","confirmed",2020-01-23,"China",0,"Inner Mongolia",113.9448,44.0935
"61","confirmed",2020-01-23,"China",0,"Ningxia",106.1655,37.2692
"62","confirmed",2020-01-23,"China",0,"Qinghai",95.9956,35.7452
"63","confirmed",2020-01-23,"China",0,"Shanxi",112.2922,37.5777
"64","confirmed",2020-01-23,"China",0,"Tianjin",117.323,39.3054
"65","confirmed",2020-01-23,"China",0,"Tibet",88.0924,31.6927
"66","confirmed",2020-01-23,"China",1,"Hainan",109.7453,19.1959
"67","confirmed",2020-01-23,"China",1,"Jilin",126.1923,43.6661
"68","confirmed",2020-01-23,"China",1,"Liaoning",122.6085,41.2956
"69","confirmed",2020-01-23,"China",1,"Macau",113.55,22.1667
"70","confirmed",2020-01-23,"China",1,"Yunnan",101.487,24.974
"71","confirmed",2020-01-23,"China",2,"Gansu",104.2861,35.7518
"72","confirmed",2020-01-23,"China",2,"Guizhou",106.8748,26.8154
"73","confirmed",2020-01-23,"China",2,"Heilongjiang",127.7615,47.862
"74","confirmed",2020-01-23,"China",2,"Hong Kong",114.2,22.3
"75","confirmed",2020-01-23,"China",2,"Xinjiang",85.2401,41.1129
"76","confirmed",2020-01-23,"China",3,"Chongqing",107.874,30.0572
"77","confirmed",2020-01-23,"China",3,"Guangxi",108.7881,23.8298
"78","confirmed",2020-01-23,"China",3,"Shaanxi",108.8701,35.1917
"79","confirmed",2020-01-23,"China",3,"Sichuan",102.7103,30.6171
"80","confirmed",2020-01-23,"China",4,"Fujian",117.9874,26.0789
"81","confirmed",2020-01-23,"China",4,"Jiangsu",119.455,32.9711
"82","confirmed",2020-01-23,"China",4,"Shandong",118.1498,36.3427
"83","confirmed",2020-01-23,"China",5,"Hunan",111.7088,27.6104
"84","confirmed",2020-01-23,"China",5,"Jiangxi",115.7221,27.614
"85","confirmed",2020-01-23,"China",6,"Guangdong",113.4244,23.3417
"86","confirmed",2020-01-23,"China",7,"Shanghai",121.4491,31.202
"87","confirmed",2020-01-23,"China",8,"Anhui",117.2264,31.8257
"88","confirmed",2020-01-23,"China",8,"Beijing",116.4142,40.1824
"89","confirmed",2020-01-23,"China",17,"Zhejiang",120.0934,29.1832
"90","confirmed",2020-01-23,"Germany",0,"",10.451526,51.165691
"91","confirmed",2020-01-23,"Italy",0,"",12.56738,41.87194
"92","confirmed",2020-01-23,"Japan",0,"",138.252924,36.204824
